[[7, 0, 1], [3, 8, 6], [2, 4, 5]],841,9532200
[[1, 0, 5], [4, 6, 8], [3, 7, 2]],205,775000
[[3, 0, 8], [6, 2, 4], [5, 7, 1]],92,188700
[[6, 3, 0], [8, 4, 1], [7, 2, 5]],495,3236300
[[4, 1, 8], [5, 6, 3], [0, 7, 2]],815,8680200
[[8, 1, 5], [3, 6, 4], [2, 7, 0]],1979,46554100
[[7, 3, 1], [2, 4, 8], [0, 5, 6]],327,1602300
[[3, 6, 5], [7, 1, 4], [0, 8, 2]],540,3934300
[[0, 1, 5], [6, 7, 2], [4, 3, 8]],2016,48531900
[[6, 5, 3], [8, 2, 4], [7, 0, 1]],1089,14691800
