[[4, 5, 2], [3, 1, 8], [6, 7, 0]],303,1558100
[[4, 6, 3], [2, 7, 0], [8, 1, 5]],30328,52157858100
[[2, 3, 1], [7, 6, 8], [0, 5, 4]],8781,1450151900
[[7, 0, 1], [3, 8, 6], [2, 4, 5]],13494,3255403400
[[1, 0, 5], [4, 6, 8], [3, 7, 2]],1010,13120600
[[3, 0, 8], [6, 2, 4], [5, 7, 1]],876,9462300
[[6, 3, 0], [8, 4, 1], [7, 2, 5]],3246,124015200
[[4, 1, 8], [5, 6, 3], [0, 7, 2]],8173,1188378800
[[8, 1, 5], [3, 6, 4], [2, 7, 0]],18686,14246779700
[[7, 3, 1], [2, 4, 8], [0, 5, 6]],3176,121507100
[[3, 6, 5], [7, 1, 4], [0, 8, 2]],3421,144145600
[[0, 1, 5], [6, 7, 2], [4, 3, 8]],9500,1820257400
[[6, 5, 3], [8, 2, 4], [7, 0, 1]],13655,4337726600
